ticket_id,customer,category,priority,inter_arr_time,arr_time,description,attribute_list,sensitive_flag
205,1,6,3,0.427,223.028,"I have recently moved and would like to update my account information with my new address. My new address is 0656 John Lane
Markbury, KY 23758. Please assist me with updating my account information.",residence,1
206,4,2,3,0.248,223.276,"Hi,I am Amanda Thomas and my employee ID is EMP711-09-4251. 
I am having trouble with my travel claim, my expense amount was $3.30 for reimbursement. 
My other details such as email is taylormaria@hotmail.com and postal code is 93691 and account number is ZEZQ01100095361059. 
Please look into matter asap. My place of residence is 3210 Collins Junctions Suite 927
Stewartbury, NC 11576.",name ssn money mail zip_code bank_account_number address,1
207,3,7,3,2.832,226.108,"Hi team, I need the catalogue of available Vacuum Cleaner for purchase with the price listed. Please send me the catalogue.",product_name,0
208,0,4,2,0.353,226.461,"Dear team, I want more members in my team. The project requires more skilled employee for the early completion of client project. My employee id is 148-94-8423. Please initiate the recruitment under my project. thanks",ssn,1
209,0,3,2,2.139,228.6,"Hi team, my be leave balance shown in the system is not correct as of 1985-08-03. The leave shown are less. Please resolve the issue.",date,0
210,4,2,2,1.164,229.764,"Dear team, I am shifting to Sharpchester from Crawfordville due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
211,4,7,3,1.465,231.229,"I am experiencing technical issues with Garbage Disposal Unit. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username erin45, Email qrice@gmail.com.",product_name username mail,1
212,2,3,2,0.335,231.564,"Hi team, I want a leave from 1990-05-20 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Dylan Macias, designation Tourist information centre manager",date name job,1
213,1,5,3,0.245,231.809,"Hi,I am Renee Phelps and from 28449 Smith Trace Suite 185
North Gregory, PW 64084. 
I am having trouble with my medical claim, my employee ID is EMP282-51-6989 and amount was $245.91. 
The payment was made through my credit card 180001691028252. 
My other details such as designation is Civil Service fast streamer email is jorge85@yahoo.com and postal code is 53519. 
Please resolve my issue asap.",name address ssn money credit_card_number job mail zip_code,1
214,2,0,2,1.09,232.899,"hi team, I am Tina Brady MD and my employee id is 188-41-9817. I need the installation of Webex for the development purpose. I have attached required approvals in the attachment. thank you.",name ssn software,1
215,4,5,3,0.58,233.479,"Hi, I had applied for the claim on 1986-02-23. I can see there is no progress on the claim. Please expedite the claim process.",date,0
216,2,0,3,0.052,233.531,Hi team I want to access http://www.sosa.com/ website for research purpose kindly remove the site from the proxy,url,0
217,4,6,2,2.188,235.719,"I am unable to log in to my account. My credentials are, username bjoseph, email smontgomery@yahoo.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
218,0,2,3,0.528,236.247,"Hi, I need $72,572.70 for my international business travel that is on 2008-01-31 please see the attached itinerary and approval. Thank you.",money date,0
219,3,0,3,0.473,236.72,Hi team my mailbox is full and I need require more storage for my mailbox. I cannot delete existing mail as they are important client mails,,0
220,4,3,3,0.293,237.013,"Hi team, my be leave balance shown in the system is not correct as of 2006-03-03. The leave shown are less. Please resolve the issue.",date,0
221,0,0,1,1.465,238.478,"Hi, I want the installation of python package tkinter. It is required for the development. I am attaching the approval of my manager. PFA. Thank you",python_package,1
222,4,7,2,1.008,239.486,"Hi, I have a need of Vacuum Cleaner in my team. How long it will take for us to procure it? Do we have any spare available. I need it urgently for our project.",product_name,0
223,2,0,3,2.924,242.41,"Hi team, I want to upgrade the Microsoft Office suite for my project requirements. Kidly do the needful.",software,0
224,4,2,2,1.002,243.412,"Hi, I need $1,592.70 for my international business travel that is on 1979-04-25 please see the attached itinerary and approval. Thank you.",money date,0
225,2,7,3,0.687,244.099,"Hi, I have a need of Heater in my team. How long it will take for us to procure it? Do we have any spare available. I need it urgently for our project.",product_name,0
226,3,7,0,0.922,245.021,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
227,4,3,3,2.814,247.835,"Hi team, I want a leave from 1988-05-08 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Jessica Mueller, designation Health and safety inspector",date name job,1
228,1,2,3,0.437,248.272,"Hi,I am Matthew Walter and my employee ID is EMP355-01-3241. 
I am having trouble with my travel claim, my expense amount was $2,456.73 for reimbursement. 
My other details such as email is wintersjason@hotmail.com and postal code is 76668 and account number is FLCD61973085754663. 
Please look into matter asap. My place of residence is 582 Herring Manor Apt. 365
New Charles, IN 07773.",name ssn money mail zip_code bank_account_number address,1
229,4,7,3,0.094,248.366,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
230,0,6,3,0.707,249.073,"Hi, I have been logged out of my account and cannot login back. my username is josephcannon. Please resolve it.",username,0
231,3,7,3,1.059,250.132,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
232,0,2,3,0.346,250.478,"Hi, I need $4.01 for my international business travel that is on 1998-04-07 please see the attached itinerary and approval. Thank you.",money date,0
233,4,5,3,0.566,251.044,"Hi,I am Joseph Ayers and from 92630 Ramirez Trafficway
East Markfurt, GU 42253. 
I am having trouble with my medical claim, my employee ID is EMP148-94-8423 and amount was $20,078.78. 
The payment was made through my credit card 676263503507. 
My other details such as designation is Volunteer coordinator email is marcusmarshall@hotmail.com and postal code is 12779. 
Please resolve my issue asap.",name address ssn money credit_card_number job mail zip_code,1
234,0,2,2,0.177,251.221,"Hi,I am Colin Jensen and my employee ID is EMP461-46-9977. 
I am having trouble with my travel claim, my expense amount was $266.42 for reimbursement.
 My other details such as designation is Television/film/video producer and email is timothywilliams@hotmail.com. 
The payment was done with given credit card number 6011975986979935 and credit card type VISA 16 digit.",name ssn money job mail credit_card_number cc_provider,1
235,2,2,3,0.138,251.359,"Hi, I need $58.19 for my international business travel that is on 2002-01-15 please see the attached itinerary and approval. Thank you.",money date,0
236,1,0,2,0.304,251.663,Hi team I want to access http://www.mayer-hughes.com/ website for research purpose kindly remove the site from the proxy. My employee id is 554-43-6072 and my profile is Chemical engineer.,url ssn job,1
237,1,3,3,0.236,251.899,"Hi team, I want a leave from 1989-08-25 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Robert Solis, designation Retail buyer",date name job,1
238,1,4,3,0.206,252.105,"Hi HR team I want to refer my friend for the Surveyor, planning and development but I cannot access the referral site. Can you please accept this referral through this mail.",job,0
239,3,1,2,0.322,252.427,"I noticed unauthorized transactions on my credit card statement for the amount of $976.39 on 1985-12-22. The transactions are listed as Wells, Mendoza and James. I did not authorize these transactions and would like them to be reversed immediately to my credit card 3531542012249861.",money date company credit_card_number,1
240,1,1,3,2.161,254.588,"Hi, my team needs a new Humidifier for the project kindly help us to come up with the quote for the said product.",product_name,0
241,1,1,1,0.229,254.817,"I noticed unauthorized transactions on my credit card statement for the amount of $8,529.31 on 1985-07-23. The transactions are listed as Wood-Lutz. I did not authorize these transactions and would like them to be reversed immediately to my credit card 2231483525934399.",money date company credit_card_number,1
242,2,0,3,0.317,255.134,"Hi, I want the installation of python package qt5. It is required for the development. I am attaching the approval of my manager. PFA. Thank you",python_package,1
243,0,2,2,3.712,258.846,"Hi,I am Benjamin Holmes and my employee ID is EMP695-65-8886. 
I am having trouble with my travel claim, my expense amount was $3.61 for reimbursement. 
My other details such as email is kimmorris@hotmail.com and postal code is 54225 and account number is OKFO45545606000764. 
Please look into matter asap. My place of residence is 55570 Parker Hill
Chadberg, MA 35841.",name ssn money mail zip_code bank_account_number address,1
244,0,0,3,0.06,258.906,Hi team my mailbox is full and I need require more storage for my mailbox. I cannot delete existing mail as they are important client mails,,0
245,0,1,3,2.224,261.13,Hi team I want to change my salary structure according to the given details please update my salary structure.,,0
246,3,1,3,0.002,261.132,"Hi,I am Todd Jones and my employee ID is EMP173-83-3958. 
I am having trouble with my hardware claim, my expense amount was $46,815.99 for reimbursement. 
My other details such as designation is Advice worker, userid ryanlopez and email is ijimenez@hotmail.com.",name ssn money job username mail,1
247,1,3,3,2.115,263.247,"Hi team, I want a leave from 1970-03-31 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Allison Baker, designation Facilities manager",date name job,1
248,2,3,3,0.134,263.381,"Hi, I have applied for the sick leave on 1971-12-01 with which was approved by my manager but is not reflected on the system. Please resolve the issue.",date,0
249,3,5,2,0.024,263.405,"Hi,I am Curtis Henry and I work in Mann-Reynolds. My employee ID is EMP647-69-8484. 
I am having trouble with health account, my userid is alexanderrobinson and amount was $494.10. 
My postal code is 94936. My country of residence is 1171 Obrien Falls
Cathychester, WV 51272. 
Please look into matter asap.",name company ssn username money zip_code address,1
250,0,7,3,0.83,264.235,"I am experiencing technical issues with Toaster. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username alisha68, Email jason72@gmail.com.",product_name username mail,1
251,4,2,3,1.52,265.755,"Hi,I am David Thompson and my employee ID is EMP681-29-8320. 
I am having trouble with my travel claim, my expense amount was $755.84 for reimbursement. 
My other details such as email is arthur37@gmail.com and postal code is 79590 and account number is EVAM97927974666573. 
Please look into matter asap. My place of residence is 32916 Mercado Springs Apt. 015
Williamschester, MP 79190.",name ssn money mail zip_code bank_account_number address,1
252,0,0,3,0.107,265.862,Hi team my mailbox is full and I need require more storage for my mailbox. I cannot delete existing mail as they are important client mails,,0
253,1,4,2,0.253,266.115,"Hi Team, can you please confirm whether on the 2013-05-18 we have a vacation or not as in my state it is a regional festival.",date,0
254,2,2,3,0.306,266.421,"Hi,I am Steven Shaw and my employee ID is EMP853-11-6438. 
I am having trouble with my travel claim, my expense amount was $9,537.19 for reimbursement.
 My other details such as designation is Financial risk analyst and email is vgonzales@gmail.com. 
The payment was done with given credit card number 4381863336160 and credit card type Maestro.",name ssn money job mail credit_card_number cc_provider,1
255,0,4,2,0.233,266.654,"Hi Team, I was wondering whether this Architectural technologist is still available in this team. I want to refer my friend for this role. please confirm.",job,0
256,3,5,0,0.49,267.144,Hi I want to apply for the cashless mode of hospitalization. please provide me the list of hospital that provide cashless mode in my city Jasminefurt.,city,0
257,1,6,3,2.564,269.708,"Hi team, I need access to the intern portal. please enable it for me.",,0
258,0,6,3,0.42,270.128,"Hi team, I need access to the intern portal. please enable it for me.",,0
259,1,2,3,1.377,271.505,"Hi,I am Billy Pineda and my employee ID is EMP043-30-6142. 
I am having trouble with my travel claim, my expense amount was $7.17 for reimbursement.
 My other details such as designation is Journalist, broadcasting and email is stanleyanderson@gmail.com. 
The payment was done with given credit card number 6543159148941763 and credit card type VISA 16 digit.",name ssn money job mail credit_card_number cc_provider,1
260,3,7,3,1.971,273.476,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
261,3,0,3,2.286,275.762,"Hi team I want to access https://brown-mitchell.com/ website for research purpose kindly remove the site from the proxy. My employee id is 873-50-5396 and my profile is Therapist, art.",url ssn job,1
262,2,0,3,0.623,276.385,"Hi, I want the installation of python package pandas. It is required for the development. I am attaching the approval of my manager. PFA. Thank you",python_package,1
263,4,3,3,0.598,276.983,"Hi team, I am Haley Kramer, employee id 352-83-6522. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
264,0,4,2,0.088,277.071,"Dear team, I want more members in my team. The project requires more skilled employee for the early completion of client project. My employee id is 183-69-3193. Please initiate the recruitment under my project. thanks",ssn,1
265,3,3,3,0.155,277.226,"Hi team, I want a leave from 2013-11-19 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Scott Cruz, designation Medical secretary",date name job,1
266,2,0,2,5.326,282.552,Hi team I want to access http://cox.com/ website for research purpose kindly remove the site from the proxy,url,0
267,1,7,2,1.749,284.301,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
268,1,6,2,1.415,285.716,"I am unable to log in to my account. My credentials are, username jacqueline59, email sschultz@gmail.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
269,2,2,1,0.79,286.506,"Hi,I am Christina Thomas and my employee ID is EMP778-74-5730. 
I am having trouble with my travel claim, my expense amount was $26,123.34 for reimbursement.
 My other details such as designation is Brewing technologist and email is sbenton@yahoo.com. 
The payment was done with given credit card number 3549856866191809 and credit card type VISA 16 digit.",name ssn money job mail credit_card_number cc_provider,1
270,3,6,3,0.101,286.607,"Hi team, i do not need access the master database now due to project change. Please revoke my access.",,0
271,2,7,3,3.055,289.662,"I am experiencing technical issues with Toaster. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username ppatterson, Email christopher45@yahoo.com.",product_name username mail,1
272,4,2,2,4.076,293.738,"Hi,I am Andrew Vasquez and my employee ID is EMP710-81-8581. 
I am having trouble with my travel claim, my expense amount was $540.78 for reimbursement.
 My other details such as designation is Environmental education officer and email is michaelsmith@hotmail.com. 
The payment was done with given credit card number 2658771430118197 and credit card type VISA 16 digit.",name ssn money job mail credit_card_number cc_provider,1
273,1,2,3,2.32,296.058,"Hi, I need $7.00 for my international business travel that is on 1983-11-13 please see the attached itinerary and approval. Thank you.",money date,0
274,3,0,0,0.021,296.079,Hi team I want to access https://www.olsen-lewis.org/ website for research purpose kindly remove the site from the proxy. My employee id is 498-11-1757 and my profile is Fitness centre manager.,url ssn job,1
275,4,2,3,4.232,300.311,"Hi,I am Meghan Henderson and my employee ID is EMP132-07-1123. 
I am having trouble with my travel claim, my expense amount was $366.45 for reimbursement.
 My other details such as designation is Conservation officer, nature and email is millermelissa@hotmail.com. 
The payment was done with given credit card number 4678130202787675 and credit card type VISA 16 digit.",name ssn money job mail credit_card_number cc_provider,1
276,2,1,3,0.632,300.943,"I noticed unauthorized transactions on my credit card statement for the amount of $94,927.31 on 1974-11-29. The transactions are listed as Bautista Inc. I did not authorize these transactions and would like them to be reversed immediately to my credit card 573269530602.",money date company credit_card_number,1
277,4,4,3,1.212,302.155,"Hi I am Frank Thornton, currently working as Warden/ranger. I want to upskill and move up the ladder. For that i need access to few educational resources listed below. Please approve the access for same",name job,1
278,2,4,3,0.632,302.787,"Dear team, I want more members in my team. The project requires more skilled employee for the early completion of client project. My employee id is 704-87-3056. Please initiate the recruitment under my project. thanks",ssn,1
279,1,0,3,0.604,303.391,"Hi team I want to access https://sullivan.com/ website for research purpose kindly remove the site from the proxy. My employee id is 157-70-1221 and my profile is Programmer, systems.",url ssn job,1
280,2,6,3,2.11,305.501,"I am unable to log in to my account. My credentials are, username courtneyyoung, email carlacombs@gmail.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
281,4,4,3,0.107,305.608,"Hi Team, I was wondering whether this Special educational needs teacher is still available in this team. I want to refer my friend for this role. please confirm.",job,0
282,1,0,3,0.752,306.36,Hi team I want to access https://www.figueroa.com/ website for research purpose kindly remove the site from the proxy. My employee id is 192-06-4633 and my profile is Translator.,url ssn job,1
283,1,6,3,1.302,307.662,"I am unable to log in to my account. My credentials are, username jamesgraham, email obaker@yahoo.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
284,3,5,2,1.599,309.261,"Hi,I am Vicki Novak and my employee ID is EMP034-97-7042 from King, Allen and Mcmahon. 
I am having trouble with health account, my National Health Scheme number is 034-97-7042 and amount was $2.93. 
My other details such as email is whitney96@yahoo.com and postal code is 76861. 
Please look into matter. My place of residence is 2121 Christina Pine
Thomasport, FL 69622.",name ssn company ssn money mail zip_code address,1
285,3,6,3,1.519,310.78,"Hi team, I need access to the intern portal. please enable it for me.",,0
286,2,3,2,0.799,311.579,"Hi team, I want a leave from 2019-03-26 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Brenda Lucas, designation Air cabin crew",date name job,1
287,0,4,3,0.753,312.332,"Hi Team, I was wondering whether this Academic librarian is still available in this team. I want to refer my friend for this role. please confirm.",job,0
288,1,1,2,1.425,313.757,I noticed unauthorized transactions on my credit card statement for the amount of $637.26 on 1979-07-30. The transactions are listed as Spencer Group. I did not authorize these transactions and would like them to be reversed immediately to my credit card 4740319973993273.,money date company credit_card_number,1
289,1,2,3,0.309,314.066,"Hi,I am Robert Barnes and my employee ID is EMP165-06-7936. 
I am having trouble with my travel claim, my expense amount was $4.11 for reimbursement. 
My other details such as email is oscott@gmail.com and postal code is 78032 and account number is DGGK83630561454869. 
Please look into matter asap. My place of residence is USNS Blankenship
FPO AE 70006.",name ssn money mail zip_code bank_account_number address,1
290,2,7,2,1.246,315.312,"I am experiencing technical issues with Vacuum Cleaner. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username simmonsjoel, Email donald89@gmail.com.",product_name username mail,1
291,4,7,3,1.535,316.847,"Hi, I have a need of Dishwasher in my team. How long it will take for us to procure it? Do we have any spare available. I need it urgently for our project.",product_name,0
292,2,7,1,0.027,316.874,"I recently purchased Refrigerator for the amount $1.07 on date 1983-04-13, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 1987-07-16 from my home 0791 Alyssa Ports Suite 911
Mezaside, FM 52175 and initiate a refund to my credit card 4959456453591007284.",product_name money date date residence credit_card_number,1
293,4,3,3,2.112,318.986,"Hi team, I want a leave from 1989-07-14 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Allison Palmer, designation Armed forces technical officer",date name job,1
294,0,0,3,0.194,319.18,Hi team my mailbox is full and I need require more storage for my mailbox. I cannot delete existing mail as they are important client mails,,0
295,2,3,2,0.852,320.032,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
296,2,4,3,1.099,321.131,"Hi team, I want to avail the maternity benefit from 1985-04-27. My employee ID is 586-45-5477 and designation is Health physicist. Kindly approve the same. Ihave attched the required documents. PFA",date ssn job,1
297,2,2,3,0.361,321.492,"Hi,I am Robin Zhang DDS and my employee ID is EMP369-75-5064. 
I am having trouble with my travel claim, my expense amount was $90.26 for reimbursement.
 My other details such as designation is Editor, magazine features and email is cmckee@gmail.com. 
The payment was done with given credit card number 676304989707 and credit card type JCB 15 digit.",name ssn money job mail credit_card_number cc_provider,1
298,4,4,3,0.811,322.303,"Hi I am Haley Kramer, currently working as Nurse, children's. I want to upskill and move up the ladder. For that i need access to few educational resources listed below. Please approve the access for same",name job,1
299,1,1,2,0.903,323.206,"I made a payment of $175.85 for my account on 1986-10-19, but it has not been credited yet. The payment was made using my credit card 4766774628062292325. I have attached a copy of the payment receipt for your reference. Please investigate the issue and update me on the status of the payment. My email address is brandiandrade@yahoo.com and phone number is 7365105554080",money date credit_card_number mail phone_number,1
300,0,3,3,1.392,324.598,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
301,3,3,3,3.817,328.415,"Hi team, I am Robert Moon, employee id 800-36-5307. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
302,3,4,3,1.441,329.856,"Hi Team, can you please confirm whether on the 1989-06-20 we have a vacation or not as in my state it is a regional festival.",date,0
303,0,2,2,0.193,330.049,"Hi,I am Brittany Johnson and my employee ID is EMP308-81-5479. 
I am having trouble with my travel claim, my expense amount was $69.52 for reimbursement. 
My other details such as email is hallen@hotmail.com and postal code is 34894 and account number is YRWZ00753226104966. 
Please look into matter asap. My place of residence is 62425 Nichols Causeway
New Raymondport, TX 88359.",name ssn money mail zip_code bank_account_number address,1
304,4,6,2,0.093,330.142,"I am unable to log in to my account. My credentials are, username walkerlaura, email jessicarobertson@yahoo.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
305,1,7,2,2.252,332.394,"Hi team, I need the catalogue of available Garbage Disposal Unit for purchase with the price listed. Please send me the catalogue.",product_name,0
306,4,6,2,0.31,332.704,"Hi, I have been logged out of my account and cannot login back. my username is rvaughan. Please resolve it.",username,0
307,0,2,2,0.155,332.859,"Hi,I am Natasha Buckley and my employee ID is EMP542-53-2611. 
I am having trouble with my travel claim, my expense amount was $97.06 for reimbursement.
 My other details such as designation is Accountant, chartered and email is lindamorgan@hotmail.com. 
The payment was done with given credit card number 4437675622187 and credit card type VISA 19 digit.",name ssn money job mail credit_card_number cc_provider,1
308,2,4,3,2.45,335.309,"Hi team, I want to avail the maternity benefit from 1990-11-25. My employee ID is 708-93-8153 and designation is Facilities manager. Kindly approve the same. Ihave attched the required documents. PFA",date ssn job,1
309,3,1,0,0.44,335.749,"Hi, my team needs a new Dishwasher for the project kindly help us to come up with the quote for the said product.",product_name,0
310,0,5,3,2.628,338.377,"Hi,I am Brandon Gutierrez and I work in Donaldson, Taylor and Hill. My employee ID is EMP504-47-7696. 
I am having trouble with health account, my userid is gloria10 and amount was $160.85. 
My postal code is 38758. My country of residence is 14423 Ryan Turnpike
New Frances, OH 85353. 
Please look into matter asap.",name company ssn username money zip_code address,1
311,4,3,2,2.046,340.423,"Hi team, I want a leave from 1976-02-26 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Melissa English, designation Estate manager/land agent",date name job,1
312,1,7,2,0.433,340.856,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
313,4,2,3,2.832,343.688,"Hi,I am Haley Kramer and my employee ID is EMP352-83-6522. 
I am having trouble with my travel claim, my expense amount was $87.49 for reimbursement. 
My other details such as email is echapman@gmail.com and postal code is 66094 and account number is SDNG67853939303555. 
Please look into matter asap. My place of residence is 5341 Sarah Drive
East Andrea, MS 32545.",name ssn money mail zip_code bank_account_number address,1
314,3,2,3,0.736,344.424,"Hi,I am Ashley Fitzgerald and my employee ID is EMP366-24-9195. 
I am having trouble with my travel claim, my expense amount was $62,629.36 for reimbursement.
 My other details such as designation is Conservation officer, nature and email is qli@hotmail.com. 
The payment was done with given credit card number 4484465749284180 and credit card type VISA 13 digit.",name ssn money job mail credit_card_number cc_provider,1
315,3,3,3,0.176,344.6,"Hi team, I want a leave from 2015-02-10 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Alyssa Roberts, designation Multimedia programmer",date name job,1
316,3,0,3,1.179,345.779,"Hi, I want the installation of python package qt5. It is required for the development. I am attaching the approval of my manager. PFA. Thank you",python_package,1
317,4,3,1,1.18,346.959,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
318,2,4,2,0.446,347.405,Hi HR team I want to refer my friend for the Research scientist (life sciences) but I cannot access the referral site. Can you please accept this referral through this mail.,job,0
319,4,1,3,1.719,349.124,Hi team I want to change my salary structure according to the given details please update my salary structure.,,0
320,1,1,3,0.71,349.834,"Hi, I need a corporate credit card for my international travel with the $32,979.31. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
321,1,3,3,0.794,350.628,"Hi team, I am Dylan Macias, employee id 502-35-3308. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
322,3,1,3,2.797,353.425,"Hi, I need a corporate credit card for my international travel with the $22.70. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
323,3,2,2,0.035,353.46,"Hi, I need $358.98 for my international business travel that is on 2014-12-12 please see the attached itinerary and approval. Thank you.",money date,0
324,1,1,3,0.852,354.312,"Hi,I am Stanley Hall and my employee ID is EMP145-79-7173. 
I am having trouble with my hardware claim, my expense amount was $2.02 for reimbursement. 
My other details such as designation is Exhibitions officer, museum/gallery, userid ncastillo and email is lgross@gmail.com.",name ssn money job username mail,1
325,3,7,1,1.798,356.11,"Hi team, I need the catalogue of available Refrigerator for purchase with the price listed. Please send me the catalogue.",product_name,0
326,4,0,1,0.685,356.795,"hi team, I am Beth Davis and my employee id is 765-52-2325. I need the installation of DocSend for the development purpose. I have attached required approvals in the attachment. thank you.",name ssn software,1
327,2,3,3,0.285,357.08,"Hi team, my be leave balance shown in the system is not correct as of 1976-09-23. The leave shown are less. Please resolve the issue.",date,0
328,4,2,2,0.109,357.189,"Hi,I am Robert Solis and my employee ID is EMP844-68-6084. 
I am having trouble with my travel claim, my expense amount was $20.63 for reimbursement. 
My other details such as email is hickschristopher@hotmail.com and postal code is 83533 and account number is ILBY81350224979810. 
Please look into matter asap. My place of residence is 4271 Lindsey Spurs Suite 243
Jordanchester, OR 89051.",name ssn money mail zip_code bank_account_number address,1
329,0,6,1,0.035,357.224,"Hi team, i do not need access the master database now due to project change. Please revoke my access.",,0
330,0,7,3,2.498,359.722,"I am experiencing technical issues with Washing Machine. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username nicole79, Email williammiller@yahoo.com.",product_name username mail,1
331,1,3,3,0.547,360.269,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
332,3,3,3,0.349,360.618,"Hi team, I want a leave from 1985-05-13 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Benjamin Holmes, designation Engineer, biomedical",date name job,1
333,3,0,2,0.739,361.357,"hi team, I am Kevin Lane and my employee id is 097-45-6964. I need the installation of Photoshop for the development purpose. I have attached required approvals in the attachment. thank you.",name ssn software,1
334,2,0,2,2.145,363.502,"Hi team, I want to upgrade the Outlook for my project requirements. Kidly do the needful.",software,0
335,1,2,2,0.316,363.818,"Hi,I am Phillip Tyler and my employee ID is EMP402-79-3581. 
I am having trouble with my travel claim, my expense amount was $37,131.63 for reimbursement. 
My other details such as email is martinezmeredith@yahoo.com and postal code is 34676 and account number is URIZ71791227155459. 
Please look into matter asap. My place of residence is PSC 7413, Box 8759
APO AA 32077.",name ssn money mail zip_code bank_account_number address,1
336,1,1,3,0.047,363.865,I noticed unauthorized transactions on my credit card statement for the amount of $48.19 on 2015-09-20. The transactions are listed as Sanchez Ltd. I did not authorize these transactions and would like them to be reversed immediately to my credit card 5415015468979980.,money date company credit_card_number,1
337,4,7,3,1.29,365.155,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
338,4,7,3,0.289,365.444,"I recently purchased Freezer for the amount $6.90 on date 2017-06-13, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 1991-09-18 from my home USCGC Fox
FPO AP 68252 and initiate a refund to my credit card 4183130039894726.",product_name money date date residence credit_card_number,1
339,1,3,3,0.285,365.729,"Hi team, I am Wayne Atkins, employee id 450-60-7926. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
340,3,1,2,1.85,367.579,"Hi,I am Tina Brady MD and my employee ID is EMP188-41-9817. 
I am having trouble with my hardware claim, my expense amount was $8.59 for reimbursement. 
My other details such as designation is Associate Professor, userid clarkdaniel and email is feliciaconway@hotmail.com.",name ssn money job username mail,1
341,3,3,3,1.022,368.601,"Hi team, my be leave balance shown in the system is not correct as of 2003-05-30. The leave shown are less. Please resolve the issue.",date,0
342,1,6,2,1.348,369.949,"Hi team, I need access to the intern portal. please enable it for me.",,0
343,0,2,3,0.775,370.724,"Hi,I am Michael Fields and my employee ID is EMP039-62-8198. 
I am having trouble with my travel claim, my expense amount was $98.42 for reimbursement. 
My other details such as email is andrewduke@yahoo.com and postal code is 81666 and account number is HCJG35747057168982. 
Please look into matter asap. My place of residence is 3216 Benjamin Gardens
North Ashleyberg, CO 91007.",name ssn money mail zip_code bank_account_number address,1
